identificador,titulo,accesible,url,direccion,BARRIO,lat,lng,tipo
4693,Centro Deportivo Municipal Orcasitas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a11e79262ef5d010VgnVCM1000000b205a0aRCRD,"AVENIDA RAFAELA YBARRA, 52",ZOFIO,40.37558213858424,-3.71245854352948,"Centros Espacios Deporte,  Gimnasios"
4690,Centro Deportivo Municipal Orcasur,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=483e79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE MOREJA, 11",ORCASUR,40.37021993373859,-3.6994689006077444,"Centros Espacios Deporte,  Gimnasios"
4675,Centro Deportivo Municipal Palomeras,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=ee5e79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE TRANVIA DE ARGANDA, 4",PALOMERAS SURESTE,40.382599021651856,-3.6337292699561834,"Centros Espacios Deporte,  Gimnasios"
4727,Centro Deportivo Municipal Peñuelas,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=6c5a42be9971c010VgnVCM1000000b205a0aRCRD,"CALLE ARGANDA, 25",ACACIAS,40.39865532340664,-3.704959759845779,"Centros Espacios Deporte,  Piscinas"
4719,Centro Deportivo Municipal Plata y Castañar,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=858e79262ef5d010VgnVCM1000000b205a0aRCRD,"PASEO PLATA Y CASTAÑAR, 7",SAN ANDRES,40.34998997348078,-3.7178413073202856,"Centros Espacios Deporte,  Gimnasios"
4718,Centro Deportivo Municipal Playa Victoria,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c77e0a47f441f010VgnVCM2000000c205a0aRCRD,"CALLE HIERBABUENA, 2",BERRUGUETE,40.4592763472204,-3.7021136988422567,"Centros Espacios Deporte,  Gimnasios"
4701,Centro Deportivo Municipal Pradillo,0,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=2cae79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE PRADILLO, 33",CIUDAD JARDIN,40.44910622626739,-3.671618277009419,"Centros Espacios Deporte,  Gimnasios"
4720,Centro Deportivo Municipal Pueblo Nuevo,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=a5fa42be9971c010VgnVCM1000000b205a0aRCRD,"CALLE FRANCISCO RIOJA, 14",PUEBLO NUEVO,40.43003240158625,-3.638536354805483,"Centros Espacios Deporte,  Gimnasios"
4678,Centro Deportivo Municipal Puente de Vallecas,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=fb1b42be9971c010VgnVCM1000000b205a0aRCRD,"CALLE PAYASO FOFO, 7",PALOMERAS BAJAS,40.39146194707861,-3.6598636029775866,"Centros Espacios Deporte,  Gimnasios"
106242,Centro Deportivo Municipal Raúl González,1,http://www.madrid.es/vgn-ext-templating/v/index.jsp?vgnextchannel=9e4c43db40317010VgnVCM100000dc0ca8c0RCRD&vgnextoid=c2de79262ef5d010VgnVCM1000000b205a0aRCRD,"CALLE BENIMAMET, 137",SAN CRISTOBAL,40.346220026067044,-3.684337728806363,"Centros Espacios Deporte,  Gimnasios"
